application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"69105","70496","SHORTLISTED","2008-11-06"
"69206","69642","SHORTLISTED","2008-10-23"
"69219","68762","SENT","2008-10-20"
"69219","69113","SHORTLISTED","2008-10-20"
"69305","69374","FIRST_INTERVIEW","2008-10-22"
"69331","60017","SHORTLISTED","2008-10-22"
"69331","69421","SHORTLISTED","2008-10-22"
"69431","69421","SHORTLISTED","2008-10-22"
"69540","64127","FIRST_INTERVIEW","2008-11-11"
"69540","71020","FIRST_INTERVIEW","2008-11-11"
"69540","71198","FIRST_INTERVIEW","2008-12-12"
"69555","69739","SENT","2008-10-24"
"69555","70276","SENT","2008-11-05"
"69555","70614","SENT","2008-11-05"
"69556","43905","SHORTLISTED","2008-10-23"
"69556","69863","SHORTLISTED","2008-10-27"
"69556","71140","SHORTLISTED","2008-11-20"
"69855","68806","SHORTLISTED","2008-10-30"
"69909","68931","FIRST_INTERVIEW","2008-12-08"
"69909","69374","FIRST_INTERVIEW","2008-12-04"
"69909","69642","FIRST_INTERVIEW","2008-12-02"
"70324","70496","SHORTLISTED","2008-11-04"
"70470","40733","SHORTLISTED","2008-11-28"
"70470","60980","SHORTLISTED","2008-11-05"
"70470","70552","SHORTLISTED","2008-11-04"
"70470","71299","SHORTLISTED","2008-11-12"
"70470","71313","SHORTLISTED","2008-11-12"
